ID,Category,Name,URL,Area,Location,Description
Z 1,Food & Drink/Breakfast,Sleepy Bee Cafe,https://www.sleepybeecafe.com/,"Okaley, Blue Ash, & Downtown","Location: Locations in Oakley, Blue Ash, and Downtown","With locations in Oakley, Blue Ash, and Downtown, Sleepy Bee Cafe is one of the most popular breakfast spots in the city. Known for classic breakfast options like pancakes, bacon, and eggs along with their quick service, Sleepy Bee Cafe offers the perfect place to enjoy breakfast with friends and family at any of their three locations."
Z 2,Food & Drink/Breakfast,First Watch,https://www.firstwatch.com/,,Several locations throughout the city,"With several locations throughout the city, First Watch is another great place to grab breakfast. Their menu includes an impressive selection of bacon, eggs, hash browns, pancakes, bagels, avocado toast, and much more."
Z 3,Food & Drink/Breakfast,Hang Over Easy ,https://www.hangovereasy.com/,Clifton,"13 W Charlton St, Cincinnati, OH 45219","Located next to the University of Cincinnati campus, Hang Over Easy is a favorite breakfast spot among college students and locals alike. Their menu is packed with favorites like french toast, eggs & bacon, breakfast sandwiches, and more. They also serve some incredible chicken and waffles for those who are a bit more adventurous with their breakfast."
Z 4,Food & Drink/Brewer,Brink Brewing Co.,https://www.brinkbrewing.com/,College Hill,"5905 Hamilton Ave., College Hill","This award-winning, community-driven College Hill staple offers live music, outdoor seating and dog-friendly accommodations. The neighborhood gathering space is loaded with interactive features including a large community table, reclaimed-wood bar and a gigantic Scrabble board that’s very popular with patrons after a few pints from the brewery’s wide-reaching tap list. Head to the bathroom to see more than three decades’ worth of collected beer labels. The brewery has earned the title of Very Small Brewing Company of the Year at the Great American Beer Fest multiple times."
Z 5,Food & Drink/Brewer,Braxton Brewing Company,https://www.braxtonbrewing.com/,Covington,"27 W. Seventh St., Covington","Rooted in the ethos and innovation forged in a Midwestern garage, founder Evan Rouse started homebrewing when he was just 16 — before he could even taste his creations. Now, with locations in Covington, Over-the-Rhine, Ft. Mitchell and Newport, Braxton Brewing Co. has puts its stamp on the Cincinnati area. The flagship Covington taproom, boasting a 5,000-square-foot rooftop patio, serves 30 plus Braxton creations and house brand VIVE hard seltzers."
Z 6,Food & Drink/Brewer,MadTree Brewing Co.,www.madtreebrewing.com,Oakley,"3301 Madison Road, Oakley","At MadTree Brewing, you can support the environment one beer at a time. This brewery is dedicated to more than providing local, craveable beer: MadTree donates 1% of its proceeds to nonprofits that strive toward environmental sustainability. Founded in 2013, MadTree’s main attraction is the big-ass beer garden, with 32 MadTree-exclusive taps, ambient lighting and an industrial brick facade leftover from the building’s factory days. There’s more than enough space to accommodate all the beer-drinking, cornhole-playing, dog-loving humans that hang at the brewery on the regular."
Z 7,Food & Drink/Bar,Mount Adams Pavilion,http://www.mountadamspavilion.com/,Mount Adams,"949 Pavilion St Cincinnati, OH 45202","Looking for a drink with a view? Or how about a fun place to dance the night away? Mount Adams Pavilion has both. This popular nightclub is located in the heart of the lively Mount Adams nightlife scene. It is best known for the four outdoor decks that have a delightful view of the Cincinnati skyline. The view - and the drink specials - attract people for happy hour. The view is also spectacular at night when the city is all lit up. Mount Adams Pavilion has three floors that are each a little different. One of them is a popular place to dance, especially on weekends - the dance floor starts filling up around midnight. Live bands play on weekends. The drink menu features craft cocktails and frozen cocktails. The kitchen serves appetizers, salads and sandwiches until 10 p.m. on weeknights and 11 p.m. on weekends."
Z 8,Food & Drink/Bar,16-BIT BAR + ARCADE,http://www.mountadamspavilion.com/,Over-The-Rine,"1331 Walnut St. Cincinnati, OH 45202"," offers something new to the Cincinnati nightlife scene: vintage arcade games. The games are free as long as you buy drinks (either alcoholic or non-alcoholic). The 5,000 square-foot facility has over 50 old-school video game machines that rotate monthly. A console wall features older game systems like PlayStation, Nintendo and Super Nintendo plus newer systems like Xbox. The only games that have a fee are the pinball machines which cost 50 cents. 16-Bit offers 23 different craft beers on tap, plus several more in cans. The bar features old school and new wave cocktails named after celebrities like Kevin Bacon, Bill Nye and Cyndi Lauper. Several types of Kentucky Bourbon and whiskey are offered. Draft root beer, soda and mocktails are available for non-drinkers. 16-Bit doesn't have a kitchen, but customers are welcome to bring in food or order from one of the local restaurants that deliver"
Z 9,Food & Drink/Bar,Holy Grail Tavern & Grille,http://www.holygrailcincy.com/,Downtown,"161 Joe Nuxhall Way Cincinnati, OH 45202","The Holy Grail is a locally-owned sports bar and grill that enthusiastically supports local sports teams. It is ideally situated at The Banks, across the street from Great American Ball Park and just a few blocks from Paul Brown Stadium and U.S. Bank Arena. It is a popular spot for a pre- or post-game drink. When the weather is nice, three garage-style doors can be opened to the seating areas outside. Professional athletes visit often and the bar proudly displays autographed baseball bats and other sports memorabilia. The large facility has 31 televisions for sports viewing. A variety of beers, including seasonal brews, and other spirits are served. The menu has typical bar food: appetizers, sandwiches, salads and pizza. The kitchen is open until midnight. An outdoor bar serves a smaller selection, plus frozen drinks. On weekends, a DJ plays music from 10 p.m.--2 a.m."
Z 10,Food & Drink/Dinner,VIA VITE,https://viaviterestaurant.com,Fountain Square,"520 Vine Street Cincinnati, OH 45202","Via Vite is a modern Italian Bistro situated in the heart of Cincinnati at Fountain Square in a space that was custom designed for Executive Chef Cristian Pietoso's vision. The restaurant's location on Vine Street also factored into its name - Via Vite translates to 'Way of the Vine'. Pietoso was born, raised and trained in Florence, Italy, and he draws from his culinary training as well as family recipes for his menu. Via Vite is a moderately-priced restaurant that is also very versatile. It boasts the largest outdoor seating area of any restaurant downtown and serves a variety of customers. At different times, you'll see executives conducting business over lunch, downtown workers kicking back for happy hour, symphony patrons savoring a four course dinner before the show or Reds fans enjoying a pre-game beer and pizza. The menu includes pasta, risotto and gnocchi; meat and fish entrees; and pizza. The Penne Bolognese is a family recipe, and the pizza is Naples style, baked in a stone pizza oven. It's definitely worth saving room for dessert too."
